Receiving time        Device NO        AccelerationX        AccelerationY        AccelerationZ        Angular VelocityX        Angular VelocityY        Angular VelocityZ        AngleX        AngleY        AngleZ        Magnetic FieldX        Magnetic FieldY        Magnetic FieldZ        Temperature        Electric Quantity        Signal        Versions
 2022-05-07 13:13:08.791        WT5300004430        -0.818        0.109        -0.075        2.563        -0.610        0.366        101.222        78.969        144.442        342        31        94        36.44        4.01        -66        13006
 2022-05-07 13:13:08.831        WT5300004408        -0.899        -0.039        0.107        0.122        0.854        1.892        -21.417        82.518        -96.377        413        84        -288        34.88        3.99        -64        13006
 2022-05-07 13:13:08.841        WT5300004331        -0.863        0.412        -0.137        4.699        -2.807        -2.136        111.340        63.660        43.308        419        -10        -287        39.52        3.95        -77        13006
 2022-05-07 13:13:08.864        WT5300004315        -0.919        -0.420        -0.162        -11.840        3.112        2.563        -107.479        64.467        -169.898        199        357        -459        36.97        3.90        -73        13006
 2022-05-07 13:13:08.882        WT5300004430        -0.797        0.143        -0.114        10.253        -11.535        1.403        100.662        79.222        143.278        343        32        93        36.44        4.01        -66        13006
 2022-05-07 13:13:08.975        WT5300004357        -1.029        -0.727        -0.066        20.446        16.906        -10.314        -90.862        49.965        149.150        552        -90        -704        38.78        3.98        -73        13006
 2022-05-07 13:13:08.975        WT5300004344        1.108        0.597        -0.083        -20.812        -2.685        -10.803        93.636        -57.568        -77.568        -590        177        -107        36.41        3.94        -76        13006
 2022-05-07 13:13:08.989        WT5300004315        -0.969        -0.379        -0.178        1.342        -6.713        2.746        -108.660        64.588        -170.568        200        359        -457        36.97        3.90        -73        13006
 2022-05-07 13:13:08.998        WT5300004344        1.189        0.230        -0.231        -91.674        -10.803        -0.305        90.477        -57.601        -78.607        -589        180        -99        36.38        3.94        -76        13006
 2022-05-07 13:13:08.989        WT5300004430        -0.603        0.625        -0.130        7.141        10.864        41.137        100.783        77.102        139.114        346        33        90        36.43        4.01        -66        13006
 2022-05-07 13:13:08.989        WT5300004331        -0.764        0.632        -0.224        26.855        -1.953        4.089        112.027        63.726        42.412        419        -3        -292        39.53        3.95        -77        13006
 2022-05-07 13:13:09.004        WT5300004357        -1.251        -0.339        -0.106        57.189        50.170        -35.766        -90.906        49.114        145.112        558        -94        -699        38.77        3.98        -73        13006
 2022-05-07 13:13:09.006        WT5300004408        -0.917        -0.054        0.158        -2.075        2.929        6.774        -17.874        82.825        -92.850        414        80        -288        34.91        3.99        -64        13006
 2022-05-07 13:13:09.034        WT5300004408        -0.842        -0.062        0.205        26.977        0.854        3.417        -12.255        82.902        -88.269        415        78        -279        34.90        3.99        -64        13006
 2022-05-07 13:13:09.039        WT5300004331        -0.772        0.776        -0.127        -42.053        -34.606        79.101        104.754        58.167        38.150        431        -32        -294        39.51        3.95        -77        13006
